PassengerId,Survived_pred,Probability
892,0,0.16079513372970883
893,0,0.42040945498023763
894,0,0.13158886200835396
895,0,0.14787465243951553
896,0,0.46647808051842204
897,0,0.18157544807220682
898,1,0.8558446331240532
899,0,0.17052054722792817
900,1,0.7861623258545878
901,0,0.1038337216946192
902,0,0.14752258003891505
903,0,0.15851760338430795
904,1,0.8933719111365591
905,0,0.16165747793228744
906,1,0.9150873532107506
907,1,0.8945277406871379
908,0,0.13775511647684222
909,0,0.1730378347937726
910,0,0.42491258686541145
911,1,0.5361006689139294
912,0,0.27423732710617765
913,1,0.527682740151401
914,1,0.9066661075696025
915,0,0.2909284121072093
916,1,0.5222129404062286
917,0,0.14003920493273314
918,1,0.8998101728771292
919,0,0.16781856972149975
920,0,0.1575759858620792
921,0,0.1583819635358643
922,0,0.15717462574525368
923,0,0.1400664637053382
924,0,0.34369349579181424
925,0,0.3748818210413485
926,0,0.21900872122754975
927,0,0.18476375620947644
928,1,0.5239737897162438
929,1,0.5497518873376305
930,0,0.1484216266161832
931,0,0.2648246313734422
932,0,0.11112937420397961
933,0,0.1583373071566182
934,0,0.15900467288588943
935,1,0.8663511180599707
936,1,0.9161356915179736
937,0,0.14629219542279112
938,0,0.16126676175106974
939,0,0.15507903228050193
940,1,0.8193559934304483
941,0,0.5155452142223175
942,0,0.18358790318420273
943,0,0.13510251926063108
944,1,0.7482431072657157
945,1,0.8586620884439776
946,0,0.13418557343794396
947,0,0.13082410100411393
948,0,0.1552051917446498
949,0,0.14593138307487136
950,0,0.1183711599748223
951,1,0.8309219558984642
952,0,0.16206577761211646
953,0,0.14790943898142608
954,0,0.15771642406204656
955,1,0.8645019096310166
956,0,0.5166006192809809
957,1,0.8780181865027068
958,1,0.8624777147470949
959,0,0.15879053319150085
960,0,0.1564053557773357
961,0,0.2556496636062286
962,1,0.8643144023976216
963,0,0.14964985566923353
964,1,0.5210842164526903
965,0,0.15857975057716203
966,1,0.8577710339117856
967,0,0.1622456128935627
968,0,0.14773040819293848
969,1,0.8075353833079761
970,0,0.145611243637746
971,1,0.8643144023976216
972,1,0.6495519879287698
973,0,0.5072212094039651
974,0,0.15809625642616665
975,0,0.14752258003891505
976,0,0.13454297134278845
977,0,0.15199839454909603
978,1,0.8619498730220075
979,1,0.5633619806207832
980,1,0.8602602862703181
981,1,0.8758085182476529
982,0,0.4621222790027115
983,0,0.14736049165019088
984,1,0.9234187721593563
985,0,0.14773040819293848
986,0,0.16554179483172746
987,0,0.14612227374191863
988,1,0.709888067565943
989,0,0.1484413125483837
990,1,0.5517079185201547
991,0,0.15314559367602393
992,1,0.9011960489581633
993,0,0.14158356688389248
994,0,0.15507903228050193
995,0,0.14623921070550755
996,1,0.8191380412828728
997,0,0.17198434780540936
998,0,0.15667739648954948
999,0,0.15507903228050193
1000,0,0.1486351282443259
1001,0,0.1629266051642148
1002,0,0.13506286394285552
1003,1,0.8602969237189997
1004,1,0.8588026866723687
1005,1,0.8622694461925505
1006,1,0.8111404353824961
1007,0,0.208950815715951
1008,0,0.15642358180380886
1009,1,0.840269752536286
1010,0,0.1639760244142946
1011,1,0.8603850750357879
1012,1,0.8577136603779456
1013,0,0.1558313742539518
1014,1,0.9027710466960824
1015,0,0.14666342503638072
1016,0,0.15507903228050193
1017,1,0.7438859606664816
1018,0,0.1479681558015307
1019,1,0.7810952316912948
1020,0,0.15748927377544586
1021,0,0.14665617118524676
1022,0,0.15194987878864763
1023,0,0.15937601303893104
1024,0,0.2961671405635359
1025,0,0.14720010057785285
1026,0,0.1589989735987301
1027,0,0.14639929211109984
1028,0,0.15896579804557354
1029,0,0.14457573887317662
1030,1,0.5392268462216102
